4053834-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x87aea9d6537fcdd055b2b5253f03c56287ce1a8affa4e64ec40b0ca370c3fcdb, 4053834, 2000.0, 2023-04-05 10:03:37, balances, transfer_keep_alive
3977032-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x3c033bd2aae9cff4be39a92c3e4459ca63f4e65906855386ac34f89b72dd0a6a, 3977032, 7971.96, 2023-03-25 11:39:00, balances, transfer_keep_alive
3976811-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xfda0efbbed0107c3a377dbda8b82701bf10a918edbb45097f857a22d1aef6886, 3976811, 9690.296, 2023-03-25 10:54:12, balances, transfer_keep_alive
3976119-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xe95f004009517a456896b70aeb99081c2196f354e79389d7a068e997ce40a7cf, 3976119, 8598.02, 2023-03-25 08:31:48, balances, transfer_keep_alive
3976034-3, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x777f7a05e90c5b4f181fa1edde25848338b268afc3c0b8d2dac852cd336dafa1, 3976034, 11160.896, 2023-03-25 08:14:18, balances, transfer_keep_alive
3976019-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xe609e98692bf309da509987b68eabd9d12987fb6116ca5737cc207ccb04740b9, 3976019, 206.28564, 2023-03-25 08:11:12, balances, transfer_keep_alive
3975951-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x7771b9fe7f70ba2cab03f681f0e3a34dc376bc3c47501417368cd47477452935, 3975951, 7033.41, 2023-03-25 07:57:00, balances, transfer_keep_alive
3975938-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xbea508e2677b708b6fc758bd9b98e7ca21cc0443b7e1bce93e772f9cf4b2ca33, 3975938, 12945.496, 2023-03-25 07:54:18, balances, transfer_keep_alive
3975612-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xb51d7cc203bc4f92fd2f6f703ca392fc68bf402e3920c91a3f69fb4309677725, 3975612, 360.18544, 2023-03-25 06:48:12, balances, transfer_keep_alive
3975543-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x5c2dfd2ec8d9a16fce1a3972ca460b97dc23d1d32811b7f6557d79aa02457dd0, 3975543, 824.71539, 2023-03-25 06:34:18, balances, transfer_keep_alive
3975286-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xba19d38d9a14b768aec36bb855cf945302959299e2938fd124a246978a777978, 3975286, 828.59457, 2023-03-25 05:42:00, balances, transfer_keep_alive
3975244-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x5b2a99a58b360119365931df9e53248dd3f3755110805172e6ff37b1bfe55d72, 3975244, 492.21428, 2023-03-25 05:33:30, balances, transfer_keep_alive
3975152-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xefb8119fb3e828027189085567108d3d55431ceeda9be81cc7560c4290c2731f, 3975152, 7439.49, 2023-03-25 05:15:00, balances, transfer_keep_alive
3975148-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x2f1aea554fb11487c2d5ca6caa56e6fa08ce11f59181855bef522ad437fc1d9c, 3975148, 10391.596, 2023-03-25 05:14:06, balances, transfer_keep_alive
3975082-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xa0f984a0fe3579112ee3c1b69b18fe39cfa940d0520b16765a0522cb5f5e6a57, 3975082, 689.43586, 2023-03-25 05:00:48, balances, transfer_keep_alive
3975049-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x5549b5a1d0f13bd0f25c1daa81260a2807b5fab07931183e69adc39770c67968, 3975049, 6737.596, 2023-03-25 04:54:06, balances, transfer_keep_alive
3975039-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xd5707dc1c887c54e2b8efc3fef018f6c2838e3957b41c54c81a8b0014855d2bf, 3975039, 136.82303, 2023-03-25 04:52:06, balances, transfer_keep_alive
3974999-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xd6c458888ae41123643041763f18c73d597ac9b6bccb75c1ace89c78bacb93d7, 3974999, 228.00266, 2023-03-25 04:44:06, balances, transfer_keep_alive
3974993-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x9e2010728a40e501945c948ccb2a2e576acf4965474aa318da3d061160ba29c4, 3974993, 11796.21, 2023-03-25 04:42:54, balances, transfer_keep_alive
3974975-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x02471050da68140ad72b002d41e8ca4315ad80d5e13ac31e50c0182800e0677c, 3974975, 1530.46191, 2023-03-25 04:39:12, balances, transfer_keep_alive
3974967-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x920a0f219d78f966e4149f4b80dab456971e3232470e4e8ff16bb94393eafbb4, 3974967, 108.54808, 2023-03-25 04:37:36, balances, transfer_keep_alive
3974966-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x2689bcb974c828c3f1337a54767ac3059394b0a12da07781977b8e5d13d44f43, 3974966, 1800.0, 2023-03-25 04:37:24, balances, transfer_keep_alive
3974852-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x93ebcd4a45d6396543bb003410a31065f6841ce29daeb81821bab8128b7ab140, 3974852, 8228.796, 2023-03-25 04:14:12, balances, transfer_keep_alive
3974564-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x15e0ccd21d0cf925be466567590a6a6d7a6aeb8c5c39512c27bd2ce77774f05f, 3974564, 6849.6, 2023-03-25 03:16:24, balances, transfer_keep_alive
3974553-4, sSyVcTeZvXjctRFpS5AAhjN3MDWbt5Lnf72Es7W82AbGMRR, 0xa4dadf479fcca3dc58df2d3ca1f8c5c51f6a939eb3abe7e91b4bfdd539d8871f, 3974553, 2254.096, 2023-03-25 03:14:06, balances, transfer_keep_alive
3974553-3, pq1hS97kpV4KuMRDij1Lri9Xbi1BBKWSYT792aDALdqZQdn, 0xef0e393fc58c2747c1883fb231220e087290b4427361a6eef57579bacf997150, 3974553, 3847.896, 2023-03-25 03:14:06, balances, transfer_keep_alive
3974553-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x1815e95b317d5700fcf0a4c1d36da2496c249dd3cc3c3b0577bf07179ff17613, 3974553, 10336.196, 2023-03-25 03:14:06, balances, transfer_keep_alive
3974503-2, pYKEjDGCssXcbRy9foCNX1J6FsxGaJbFF1caQpMaCbv9WNm, 0x78ee54690cdf6c09e8232e7a1fafd5c631c3afe45249c42a0f13d64b777e3d25, 3974503, 5481.0, 2023-03-25 03:03:42, balances, transfer_keep_alive
3974341-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xe2ada2646505315232986a8f0e69156a09e0adb6546b05afd81faded90d465cb, 3974341, 773.33982, 2023-03-25 02:30:18, balances, transfer_keep_alive
3974262-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xc2e7dfa66550fa0367a44587da5c7ffa11ffa12571fa337097ba344ca55c7e09, 3974262, 7886.796, 2023-03-25 02:14:12, balances, transfer_keep_alive
3974164-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x9f7bef0bd70d3bba3351ef33554a0464ce3993779f38104b0604538e8f62f3e0, 3974164, 7678.496, 2023-03-25 01:54:12, balances, transfer_keep_alive
3974138-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x8c9897e56b1debdcb56af2340ea40ebb345f8d360a6d7def37428a0fcfd4cc89, 3974138, 390.05963, 2023-03-25 01:49:00, balances, transfer_keep_alive
3974124-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x14a266a9bb6401e89d14638e466d496980d49fa51b43bad1474dbc8d6d52a3d2, 3974124, 1314.07289, 2023-03-25 01:46:12, balances, transfer_keep_alive
3974097-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xa32e6805cb3954ec85531567f1df4b0bba434a1ddbe40db8715f9ef9601375c1, 3974097, 723.95831, 2023-03-25 01:40:42, balances, transfer_keep_alive
3973952-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x465705e3ff4d45b320df4d3702f2be9fb6a2a4c63e1df8cf5f1e0769278a96d7, 3973952, 377.84281, 2023-03-25 01:11:18, balances, transfer_keep_alive
3973774-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xfc804b134065bb7416528aec110b288d63ff0fd542ab58dd2de59c961c0bd596, 3973774, 435.72883, 2023-03-25 00:35:18, balances, transfer_keep_alive
3973373-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x08e88e9282f8b47749052d8ad7bd317b4c30a97f93b3616913fc46f2d8db34b6, 3973373, 7613.196, 2023-03-24 23:14:18, balances, transfer_keep_alive
3972932-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x1a399d79cef55e729e4d192264db10963565c3e0c224ff4bfeba2ee4004d289a, 3972932, 2200.99, 2023-03-24 21:45:30, balances, transfer_keep_alive
3972849-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xc3d77017f9484e4b913d7b05ec2b9c7e41bf378cf7a97767fe59ac9740d33954, 3972849, 721.9339, 2023-03-24 21:28:48, balances, transfer_keep_alive
3972805-2, ogA42qfyeY4BHRF1Kk8ewCt5BL7GjMdevgn8Jr2Q4c29mEJ, 0xe1caa89ee26997c66edc3617036ffcfe4c444777d85ca76ca727856743b6cbf7, 3972805, 177.0, 2023-03-24 21:19:42, balances, transfer_keep_alive
3972631-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xac9eaded191bd2f9e7b89ac309795b2c65b36633a7d15b85a42a2bcbe560fcc5, 3972631, 541.92053, 2023-03-24 20:44:12, balances, transfer_keep_alive
3972359-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xf515fc84ca78cd262edc21d3950927719c46b68045ab5d02349513d1a7bc80c4, 3972359, 2734.44016, 2023-03-24 19:49:24, balances, transfer_keep_alive
3972222-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xcf279d12672c56d198ce33dc34a4cf9c8db3b290286b7072aa0a753c42e8801a, 3972222, 1370.26067, 2023-03-24 19:21:48, balances, transfer_keep_alive
3972197-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x305afeb189269d451740e2ddf3f16f938c7a3f6ae51c6fc2171374b0662d3eb3, 3972197, 1800.0, 2023-03-24 19:16:42, balances, transfer_keep_alive
3972184-3, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x4d9c1a4610900c2d4ee4b2de47e89b73d70d168fcc8001e70c2342f4244821a0, 3972184, 7991.896, 2023-03-24 19:14:06, balances, transfer_keep_alive
3972184-2, srb2w1ntAvwQNHY4AP3Ee3ehTo6UGowFz9teKmyton3BZbU, 0xd5dc400f61ccd9bf86a0bb55e86d18f908804000564baef05c122baf082006d9, 3972184, 7495.996, 2023-03-24 19:14:06, balances, transfer_keep_alive
3972178-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xe4f34142c769864cc406fe96e4079b302a0067bfdd911ed8d6402fc8a1172625, 3972178, 49238.09839, 2023-03-24 19:12:55, balances, transfer_keep_alive
3971794-3, srb2w1ntAvwQNHY4AP3Ee3ehTo6UGowFz9teKmyton3BZbU, 0x63a8ea2d2cc3ff38e2aefb08da2c2aef7101611c23b9eb6eb336de257de10a36, 3971794, 5551.996, 2023-03-24 17:54:06, balances, transfer_keep_alive
3971794-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x26fdf56a2916406c438d5e51ff0123565e766dafbcbe95ec3bc540811f8dd3a5, 3971794, 8478.696, 2023-03-24 17:54:06, balances, transfer_keep_alive
3971597-2, srb2w1ntAvwQNHY4AP3Ee3ehTo6UGowFz9teKmyton3BZbU, 0xb8053e485ef30882fcb86de10f34c0b3139bda4cf0f4e4ddf4a7a5e76ce55bbb, 3971597, 6992.996, 2023-03-24 17:14:06, balances, transfer_keep_alive
3971202-3, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xb88bb21e986c0cff996634087d3f0b1b40f9b976e5e4ca1086383879ee4f9e8b, 3971202, 8342.896, 2023-03-24 15:54:12, balances, transfer_keep_alive
3971158-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xbc72c181c3b250e91f29b16ee0d7d7a1ddd8df6354d6ef57f9abaa637bf34341, 3971158, 1800.0, 2023-03-24 15:45:12, balances, transfer_keep_alive
3971014-2, sv6NWKTkPyY5tb7iyJyo4AeQG71hnjwmB2Hcz6vgbeZ9Pa8, 0x2cc2890a5dbde4fd419b1a86f2d22e29b0270e87a1ea0c771e44194118f02d6b, 3971014, 5.0, 2023-03-24 15:16:12, balances, transfer_keep_alive
3970906-2, pq1hS97kpV4KuMRDij1Lri9Xbi1BBKWSYT792aDALdqZQdn, 0x20b27013dfcf3b6f11fda074f4df9a01c835a91bb5c171537ce6bbe5fecc68f5, 3970906, 1258.896, 2023-03-24 14:54:12, balances, transfer_keep_alive
3970834-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x4e3c3d234325641e1db53a00386b0f3a58ec325a1e712b81630fcc2d55e327b6, 3970834, 19557.72425, 2023-03-24 14:39:36, balances, transfer_keep_alive
3970807-2, pq1hS97kpV4KuMRDij1Lri9Xbi1BBKWSYT792aDALdqZQdn, 0x44e80d8474e34f1e6f7ca760eb9b973c7de99cc0081ab88f6c96b6028c545e0d, 3970807, 2423.796, 2023-03-24 14:34:12, balances, transfer_keep_alive
3970192-4, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x4066c710517a0e74193d8618c49fe4597befe6baede44fb9654bb7e19ae4f409, 3970192, 825.84232, 2023-03-24 12:29:00, balances, transfer_keep_alive
3970119-4, sHggtFEgasvADfNzfWwFcVhGRE1RLYpPpc5kuDJtmbMVZDM, 0x338d9ca3a1d23947a8c8b408c39ca3f3c9427e4aae90ecb429797d2b20ee925d, 3970119, 40099.992, 2023-03-24 12:14:12, balances, transfer_keep_alive
3970119-3, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x24d1e1b87fcb4dbfdc83a0fc1e4540396ddda0e780fc59101e69e3d1f076e981, 3970119, 9645.796, 2023-03-24 12:14:12, balances, transfer_keep_alive
3970119-2, srb2w1ntAvwQNHY4AP3Ee3ehTo6UGowFz9teKmyton3BZbU, 0x68bd3d2b1ffa32118b6703d69a43c1e50d04f2049a059f22f1d1475ef270c893, 3970119, 5965.996, 2023-03-24 12:14:12, balances, transfer_keep_alive
3970102-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x5789b61165198cc7e396fda62477f53f91765feb9270f3d164ab4948fb572671, 3970102, 6673.97, 2023-03-24 12:10:42, balances, transfer_keep_alive
3970084-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xab109354b2882ff0f86572ca7dabc7e9a61366eed9e68031a9415f95c9ca3abe, 3970084, 3690.36851, 2023-03-24 12:07:06, balances, transfer_keep_alive
3969901-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xf2b0be598ddf89de63e2f82c33be7ddc8b7966a65196814a7b7d84f536d82b2a, 3969901, 6297.57, 2023-03-24 11:30:06, balances, transfer_keep_alive
3969725-3, sKtjBryLzf39u3veMpX4QRWbTUKq3J7vTWgaMPbeQg8JtMv, 0xffb96b57c260459de992711510b9e79aef20db9bc384b8247663e3258781a105, 3969725, 1837.407, 2023-03-24 10:54:12, balances, transfer_keep_alive
3969725-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xcc74327f41f6f7739d3230f0288b9d47d535dc632fdfe2a02e6a9701515c0b70, 3969725, 7350.696, 2023-03-24 10:54:12, balances, transfer_keep_alive
3969242-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x14cc935de3c5e8173a109bada1bf35868efad5290f7586de319831db00dfbf97, 3969242, 829.74762, 2023-03-24 09:16:42, balances, transfer_keep_alive
3969229-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x49bdfbc3526cd468f02314a38eb018216bdef704bab2b20d10144d30b92ca494, 3969229, 8312.296, 2023-03-24 09:14:06, balances, transfer_keep_alive
3969158-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xab833502529b5a8be63e933f6a8d5a530c757673308a405f48c94615590a71ab, 3969158, 827.90526, 2023-03-24 08:59:54, balances, transfer_keep_alive
3969107-3, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xa3c9f18e92d8be4c392922d758e58a862bd31bbd1d4d1f1dbf91ee3b62b24afb, 3969107, 826.2629, 2023-03-24 08:49:36, balances, transfer_keep_alive
3969030-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x0aae38fedd183b964de50e313c5770c26e1be15fb3f9e16970474da5bd39aea0, 3969030, 7604.496, 2023-03-24 08:34:06, balances, transfer_keep_alive
3968931-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xd000cd114046fb4981f02c5c940ef8f604a88137a904927a731d38041ce50fe7, 3968931, 7403.896, 2023-03-24 08:14:12, balances, transfer_keep_alive
3968840-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xeb1453628f5b219a9e425be458caabf2d8c8e92a99725c6aea61cb4df38cf5a4, 3968840, 6553.49, 2023-03-24 07:55:42, balances, transfer_keep_alive
3968832-3, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xa9efc9548b6e84d86b3ee6d9ea561fd84546962f1eabba12c239020639235f68, 3968832, 6220.496, 2023-03-24 07:54:06, balances, transfer_keep_alive
3968733-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x7ad7ac870340d8a64a8c3e8e7fdd5a03997b1913dbcafb96581023aceafda22c, 3968733, 8124.796, 2023-03-24 07:34:06, balances, transfer_keep_alive
3968692-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xc968d653284fd2f9b496a356977e9865a7f0b75304fea0f7c136e23d010b33a7, 3968692, 7866.83, 2023-03-24 07:25:54, balances, transfer_keep_alive
3968667-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x952003b3c30ad030262f21703513fc4b6a5138ccc96f9438c827f0da4699e6ad, 3968667, 2814.28789, 2023-03-24 07:20:54, balances, transfer_keep_alive
3968608-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xc480692a676feba9887b52bfbb18092b1cde5deb570db6a90289d01f0b32202e, 3968608, 828.17199, 2023-03-24 07:09:06, balances, transfer_keep_alive
3968581-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x8e44418767ea75949e4b093407e9fcb2509b8d5e1d7bc662b43c7b5c6d6d7750, 3968581, 304.42726, 2023-03-24 07:03:42, balances, transfer_keep_alive
3968543-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xfec35e7709868b90e5e031c0a9af9a5565143b56093f16e695dbf45e467834d5, 3968543, 433.28727, 2023-03-24 06:56:06, balances, transfer_keep_alive
3968433-2, pq1hS97kpV4KuMRDij1Lri9Xbi1BBKWSYT792aDALdqZQdn, 0x6740ca2abaa39cda42ad507a8feeb9e97b371ce3df1b763ffa863e68d1a0d0f0, 3968433, 3395.796, 2023-03-24 06:34:06, balances, transfer_keep_alive
3968334-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0xe30dd4a9effd8098a054d14f5b97bc0175008e6ee0c227f5f1ca3d57d8d2d47c, 3968334, 6202.096, 2023-03-24 06:14:06, balances, transfer_keep_alive
3968222-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x8d446d17a963f8ca5b75ede5a9b2f955f8ac9aa9cec62156185ad9bf80f7a417, 3968222, 164.34648, 2023-03-24 05:51:30, balances, transfer_keep_alive
3968107-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x45d98c8bd785a8ffa0d604287e00be5f1464bdd64920fb1eae4a84aeb2646990, 3968107, 2021.2697, 2023-03-24 05:28:18, balances, transfer_keep_alive
3968072-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xc7b150b1e8f8620863b24d2115be0bea2bbbf45437eba21faed5d5c33b9515e0, 3968072, 631.61175, 2023-03-24 05:21:00, balances, transfer_keep_alive
3968038-2, pAfTD8WmDYCLMwN42SBskQ6vpK7SM8WicYcEmGqUfmgxFPw, 0x338945a1526595f7ad00dd7569dafff6c6ab0a41c08272e6db37994821dfd283, 3968038, 3919.996, 2023-03-24 05:14:06, balances, transfer_keep_alive
3968022-2, pDiSBRN6wH1orEfDfXHBZ1v2HSqPiUYTQQGqVnk8JpghLHj, 0xe91897fa6ee5e0772928789f0ec4bb41fff39473b4f6fdfb9eb3c78663ea1e34, 3968022, 1220.0, 2023-03-24 05:10:54, balances, transfer_keep_alive
3967976-2, sC5W1ymV4R4H1uPJm95UopnXbFgE1daVf2kuhSDrwRwnN56, 0xb77072076d83828e749596d0448da5afab7b1c18e018f2f490a0130ce8cefde6, 3967976, 2700.0, 2023-03-24 05:01:42, balances, transfer_keep_alive
3967774-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x584a7bd5623025d03ec0b12bef647376c54fd9d8f0490d6743263e4fd6b1a8a3, 3967774, 5274.7101, 2023-03-24 04:20:48, balances, transfer_keep_alive
3967613-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xcfdae0e22e5e10e0747f594644444ca2f8df92576b1deed72197d952513268a3, 3967613, 105.51815, 2023-03-24 03:48:06, balances, transfer_keep_alive
3967544-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x8ed809c189acce7a73fbd233d26d152c00d1acaf884bae6b8aef05eedceccb6f, 3967544, 8017.096, 2023-03-24 03:34:12, balances, transfer_keep_alive
3967540-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x47a81894a0aca582d31cc5a47fe1fdcec5ab76a7096eacc5e7015c0e18e607ff, 3967540, 7163.09, 2023-03-24 03:33:24, balances, transfer_keep_alive
3967517-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xfcd362e06a7874730bb8d3815e2e650a0ed63a4cf8233b38b05acae750a23f90, 3967517, 2172.1918, 2023-03-24 03:28:42, balances, transfer_keep_alive
3967470-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xdbbb536e1c2fe51faa30433f3e9a35ee36bdea2b38f1bdbac7ae35baaaa68d9c, 3967470, 108.7992, 2023-03-24 03:18:54, balances, transfer_keep_alive
3967437-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x3823ec3dd7410cdded82c884adf327d8a3d429cf30e013fb14b6ef0e22a884ba, 3967437, 699.29, 2023-03-24 03:12:12, balances, transfer_keep_alive
3967416-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x199fa4f4dfb4476305fd4fe8390de58b1f483eac4d683def8447343c6d9c57a1, 3967416, 1800.0, 2023-03-24 03:07:54, balances, transfer_keep_alive
3967407-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x9d4c8cab481d334dc8c75898586af24731bb5393562e7c8b823e0695fc08780a, 3967407, 1657.36397, 2023-03-24 03:06:06, balances, transfer_keep_alive
3967371-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xd320fd8de70cabf71d0cd27e4d1a78c16c2ca70ad1dee810ee36ea89bf98cb62, 3967371, 225.99377, 2023-03-24 02:58:36, balances, transfer_keep_alive
3967367-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xb7ed256e1b0501ae35ce3407dbf50b20263b377d3c291ea11ceef130959ac8f5, 3967367, 104.82333, 2023-03-24 02:57:43, balances, transfer_keep_alive
3967296-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xbdd6145251afbdaf39b9cd1d8b0ff029d8f0f859eab19715d1e1b8549b48ef20, 3967296, 813.23894, 2023-03-24 02:43:06, balances, transfer_keep_alive
3967256-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0xd4f01789ee5dd7b5c8bdf16ac19b732dd2e27501461ceac6d8dc4859137618b5, 3967256, 827.54062, 2023-03-24 02:35:06, balances, transfer_keep_alive
3967252-2, r7CoksEB7iXBpU7UrBZTNYMDRiJfY1aYUFTJCXdeAyJVR5u, 0x09be5310248d778f91fc26363067eb1b75f1ad83609903fe431f2320289584ef, 3967252, 6213.996, 2023-03-24 02:34:18, balances, transfer_keep_alive
3967070-2, rJekkd4nne4A6VpRWj4eDmjgYye2gXjDaJ1gTGoJLYgy2T1, 0x5b68655799bf0658d586daeafc137070e936cf32690610129cd94520485438d4, 3967070, 1800.0, 2023-03-24 01:57:24, balances, transfer_keep_alive
